SimulationName,SimulationID,CheckpointID,CheckpointName,Clock.Today,Wheat.AboveGroundWtAtFlowering,Wheat.AboveGroundWtAtMaturity,Wheat.Grain.HI,Wheat.Grain.Number,Wheat.Grain.Size,Wheat.Grain.Wt,Wheat.Leaf.LAIAtFlagLeaf,Wheat.Leaf.LAIAtFlowering,Wheat.Phenology.FlagLeafDAS,Wheat.Phenology.FloweringDAS,Wheat.Phenology.MaturityDAS,Wheat.Phenology.TerminalSpikeletDAS,Wheat.SowingDate,Wheat.SowingDate.Date,Wheat.Stem.PercentWSCAtFlowering,Wheat.Stem.StemPercentWSCAtMaturity,Wheat.Stem.StemWtAtMaturity,Wheat.Stem.WtAtFlowering,Wheat.Structure.FinalLeafNumber,Wheat.Structure.FinalStemNumber,Wheat.Structure.MaximumStemNumber,Zone,Year,TranspirationBeforeFlowering,TranspirationWholeSeason,WaterUptakeWholeSeason,WaterUptakeBeforeFlowering,WaterUptakeFloweringToMaturiy,PAWCAtSowing,PAWAtSowing,PAWCAtMaturity,PAWAtMaturity,RainBeforeFlowering,RainFloweringToMaturity,FWDC31ToFlag,FWDC31ToStart,FWFlagToStart,FWStartToEnd,EnvType,StressTrace_1,StressTrace_2,StressTrace_3,StressTrace_4,StressTrace_5,StressTrace_6,StressTrace_7,StressTrace_8,StressTrace_9,StressTrace_10,StressTrace_11,StressTrace_12,StressTrace_13,StressTrace_14,StressTrace_15,StressTrace_16,StressTrace_17,StressTrace_18
10007,1,1,       Current, 1957-11-10,504.349,800.169,0.283,14441.354,0.016,226.297,1.873,1.467,124,146,207,74,      1957-04-01,           1957-04-01,0.098,0,337.441,314.824,13.361,9.706,24.002,Field,1957,48.004,87.233,87.233,48.004,39.229,0.579,0.11,0.579,0.034,187,13.799999999999999,1,0.996320987654321,0.9903870967741936,0.7721,1,0.4911666666666667,0.28650000000000003,0.5492857142857143,0.7121428571428572,1,1,1,1,1,1,1,1,1,0.986875,0.9763,0.9505,0.7498571428571429,0.5065714285714286
10007,1,1,       Current, 1958-11-21,355.445,364.678,0.078,10459.149,0.003,28.29,0.735,0.213,121,149,217,77,      1958-04-01,           1958-04-01,0.114,0,245.039,269.48,13.44,12.538,19.715,Field,1958,33.664,36.716,36.716,33.664,3.052,0.579,0.106,0.579,0.5,268.8,73.9,1,1,1,1,1,0.8843333333333333,0.7818,1,0.9265,1,1,1,1,1,1,1,1,1,1,1,1,1,1
10007,1,1,       Current, 1959-11-01,381.842,802.252,0.386,10425.998,0.03,309.469,1.944,1.885,112,131,196,79,      1959-04-01,           1959-04-01,0.073,0.003,248.788,192.316,14.341,11.681,18.978,Field,1959,38.016,89.87,89.87,38.016,51.854,0.579,0.114,0.579,0.068,142.2,64.1,1,0.9926190476190476,0.9845,0.7933269230769231,1,0.45825,0.432,0.39066666666666666,0.303875,0.805,1,1,1,1,1,1,0.9831,0.9582857142857143,0.9996,1,0.8772857142857143,0.6718333333333333,0.6976666666666667
10007,1,1,       Current, 1960-11-13,552.635,910.59,0.297,15615.336,0.017,270.672,2.839,2.583,121,145,209,68,      1960-04-01,           1960-04-01,0.112,0,331.649,298.199,11.696,5.418,21.614,Field,1960,54.233,97.018,97.018,54.233,42.785000000000004,0.579,0.111,0.579,0.018,178.5,34.4,1,0.9644482758620689,0.9090294117647059,0.5825294117647059,2,0.9424,0.9071111111111111,0.597625,1,1,1,1,1,1,1,1,1,0.9947,0.9076,0.587,0.8200000000000001,0.7496666666666667,0.548375
10007,1,1,       Current, 1961-10-30,676.51,1249.361,0.328,18180.895,0.023,410.001,4.283,3.976,109,133,194,66,      1961-04-01,           1961-04-01,0.111,0,405.1,333.006,12.328,12.101,51.425,Field,1961,62.718,130.079,130.079,62.718,67.361,0.579,0.112,0.579,0.046,253.9,30,1,0.9922948717948717,0.9828285714285714,0.6820212765957446,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.8785000000000001,0.9165,0.8051428571428572,0.5948571428571429
10007,1,1,       Current, 1962-11-11,15.872,15.724,0.006,364.361,0,0.089,0,0,119,142,207,77,      1962-04-01,           1962-04-01,0.023,0,10.174,10.41,14.329,6.607,6.773,Field,1962,3.628,3.628,3.628,3.628,0,0.579,0.11,0.579,0.522,214.6,37.4,1,1,1,1,1,0.3482,0.7595,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
10007,1,1,       Current, 1963-11-06,347.925,402.447,0.119,9777.356,0.005,47.751,0.737,0.498,119,140,203,76,      1963-04-01,           1963-04-01,0.122,0,224.367,233.603,13.142,7.847,7.847,Field,1963,32.846,38.797,38.797,32.846,5.951,0.579,0.111,0.579,0.472,328,77.3,1,1,1,1,1,0.8823333333333333,0.8602857142857143,0.96625,0.8726666666666667,1,1,1,1,1,1,1,1,1,1,1,1,1,1
10007,1,1,       Current, 1964-11-12,56.888,84.922,0.284,1393.906,0.017,24.159,0.088,0.083,109,129,207,72,      1964-04-01,           1964-04-01,0.091,0,34.427,33.732,12.451,6.448,9.309,Field,1964,7.832,10.684,10.684,7.832,2.852,0.579,0.162,0.579,0.501,215.1,54.1,1,1,1,1,1,1,0.955875,0.3806,0.3512,0.58475,0.8723636363636363,1,1,1,1,1,1,1,1,1,1,1,1
10007,1,1,       Current, 1965-11-10,295.558,319.906,0.11,8073.735,0.004,35.293,0.46,0.215,118,142,205,76,      1965-04-01,           1965-04-01,0.114,0,192.467,209.332,13.403,10.944,10.944,Field,1965,35.168,39.099,39.099,35.168,3.931,0.579,0.106,0.579,0.522,280.8,62.6,1,1,1,1,1,0.34325,0.948625,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
10007,1,1,       Current, 1966-11-16,202.195,231.004,0.159,5345.289,0.007,36.707,0.207,0.134,125,148,214,73,      1966-04-01,           1966-04-01,0.13,0,127.429,139.948,12.744,12.264,12.264,Field,1966,32.541,36.83,36.83,32.541,4.289,0.579,0.114,0.579,0.573,248,93,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
